table	column	references_table	references_column
categoria	id_usr	usuario	id_usr
comentario	id_receta	receta	id_receta
comentario	id_usr	usuario	id_usr
donacion	id_receta	receta	id_receta
donacion	id_usr	usuario	id_usr
estrella	id_usr	usuario	id_usr
estrella	id_receta	receta	id_receta
favorito	id_usr	usuario	id_usr
favorito	id_receta	receta	id_receta
ingrediente	id_receta	receta	id_receta
me_gusta	id_usr	usuario	id_usr
me_gusta	id_receta	receta	id_receta
pais	id_usr	usuario	id_usr
receta	id_cat	categoria	id_cat
receta	id_pais	pais	id_pais
receta	id_usr	usuario	id_usr
sesion_pago	id_donacion	donacion	id_donacion
usuario	id_perfil	perfil	id_perfil
